turbine_idx,norm_lon,norm_lat,norm_elevation
0,0.7552411675678741,0.9095621893782209,0.0
1,1.0,0.8151432629902047,0.18152866242038224
2,0.9637170236849215,0.8135893833921273,0.4140127388535033
3,0.9165207899720826,0.8524117085835314,0.394904458598726
4,0.8887221024642713,0.8962802185296823,0.5191082802547768
5,0.8612996426720656,0.9090520773888784,0.4585987261146496
6,0.8282741615000759,0.922091885183363,0.2101910828025475
7,0.7234708598955422,0.887463689555716,0.3566878980891719
8,0.6503022352821972,0.9121889858413397,0.3407643312101909
9,0.49925771686957887,0.7994419038500382,0.29617834394904463
10,0.4787244111341806,0.742822836424466,0.3726114649681529
11,0.4890114086040285,0.6375032092209949,0.28662420382165577
12,0.44490313168284956,0.7320577917644187,0.2993630573248405
13,0.40458750139669064,0.7910222532150328,0.43630573248407645
14,0.3636919025238967,1.0,0.4426751592356686
15,0.34679172994856344,0.8860376182365144,0.5095541401273884
16,0.322278843117374,0.8653057700953468,0.6019108280254777
17,0.2946149017427615,0.7837730573421595,0.3980891719745223
18,0.24675378284268845,0.6599481367456974,0.37898089171974503
19,0.2241385461511527,0.6252952763629764,0.5063694267515921
20,0.2012700339046205,0.46038447869341326,0.8248407643312103
21,0.14786338923954645,0.4491530459290516,0.7484076433121016
22,0.11940895687325792,0.47014723737925124,0.8439490445859872
23,0.09506177535240568,0.4407872093063361,0.8312101910828025
24,0.06850410857759925,0.4392366930840126,0.9012738853503186
25,0.042319426175936314,0.38799566348757253,1.0
26,0.005441443959625758,0.1803206642441637,0.589171974522293
27,0.005539923628020915,0.060595698690804056,0.5668789808917198
28,0.0,0.0,0.4745222929936306
